MCODE App Results
Date: May 15, 2016 2:00:08 PM

Parameters:
   Network Scoring:
      Include Loops: false  Degree Cutoff: 2
   Cluster Finding:
      Node Score Cutoff: 0.2  Haircut: true  Fluff: false  K-Core: 2  Max. Depth from Seed: 100

Cluster	Score (Density*#Nodes)	Nodes	Edges	Node IDs
43	4	4	6	HARN_C_1998_PLANT_MOL_BIOL, EDWARDS_A_1995_PLANT_J, KNIGHT_ME_1998_PLANT_J, DRY_I_1992_PLANT_J
44	4	4	6	OBA_K_1994_PLANT_CELL_PHYSIOL, WHEELER_GL_1998_NATURE, OBA_K_1995_J_BIOCHEM, OSTERGAARD_J_1997_J_BIOL_CHEM
45	4	4	6	TERRY_MJ_1997_PLANT_CELL_ENVIRON, WELLER_JL_1996_PLANT_CELL, TERRY_MJ_1993_ARCH_BIOCHEM_BIOPHYS, KRAEPIEL_Y_1994_MOL_GEN_GENET
46	4	4	6	PAPPAN_K_1998_ARCH_BIOCHEM_BIOPHYS, PAPPAN_K_1997_J_BIOL_CHEM, QIN_WS_1997_J_BIOL_CHEM, FAN_L_1997_PLANT_CELL
47	4	4	6	GOLDSTEIN_AH_1988_PLANT_PHYSIOL, RAGHOTHAMA_KG_1999_ANNU_REV_PLANT_PHYS, SCHACHTMAN_DP_1998_PLANT_PHYSIOL, DUFF_SMG_1994_PHYSIOL_PLANTARUM
48	3.667	13	22	PARK_JH_1998_PLANT_MOL_BIOL, BEERS_EP_1997_PLANT_PHYSIOL, FUKUDA_H_1980_PLANT_PHYSIOL, JONES_AM_1996_TRENDS_PLANT_SCI, GREENBERG_JT_1996_P_NATL_ACAD_SCI_USA, PENNELL_RI_1997_PLANT_CELL, LOHMAN_KN_1994_PHYSIOL_PLANTARUM, GROOVER_A_1999_PLANT_PHYSIOL, SMART_CM_1994_NEW_PHYTOL, HENSEL_LL_1993_PLANT_CELL, MINAMI_A_1995_PLANT_CELL_PHYSIOL, GAN_SS_1997_PLANT_PHYSIOL, YE_ZH_1996_PLANT_MOL_BIOL
49	3.333	4	5	PAN_D_1984_PLANT_PHYSIOL, NAKAMURA_Y_1996_PHYSIOL_PLANTARUM, RAHMAN_A_1998_PLANT_PHYSIOL, GALLANT_DJ_1997_CARBOHYD_POLYM
50	3.333	4	5	LEVITT_J_1980_RESPONSES_PLANTS_ENV, THOMASHOW_MF_1998_PLANT_PHYSIOL, STEPONKUS_PL_1984_ANNU_REV_PLANT_PHYS, GUY_CL_1990_ANNU_REV_PLANT_PHYS
51	3.333	4	5	JACOBSEN_SE_1996_P_NATL_ACAD_SCI_USA, HARBERD_NP_1998_BIOESSAYS, PENG_JR_1997_GENE_DEV, SWAIN_SM_1996_PLANT_PHYSIOL
52	3.333	4	5	ANDERBERG_RJ_1992_P_NATL_ACAD_SCI_USA, LEUNG_J_1994_SCIENCE, LEUNG_J_1997_PLANT_CELL, MEYER_K_1994_SCIENCE
53	3.333	4	5	PFANNSCHMIDT_T_1999_NATURE, DANON_A_1994_SCIENCE, MOHAMED_A_1989_PLANT_MOL_BIOL, ESCOUBAS_JM_1995_P_NATL_ACAD_SCI_USA
54	3.333	4	5	WU_K_1997_PLANT_PHYSIOL, FERL_RJ_1996_ANNU_REV_PLANT_PHYS, BACHMANN_M_1996_FEBS_LETT, LU_GH_1992_P_NATL_ACAD_SCI_USA
55	3.2	6	8	IYER_S_1998_PLANT_PHYSIOL, SMIRNOFF_N_1989_PHYTOCHEMISTRY, VERBRUGGEN_N_1993_PLANT_PHYSIOL, SAVOURE_A_1995_FEBS_LETT, PENG_Z_1996_MOL_GEN_GENET, RHODES_D_1986_PLANT_PHYSIOL
56	3.2	6	8	CRAWFORD_NM_1998_TRENDS_PLANT_SCI, RAWAT_SR_1999_PLANT_J, KRAPP_A_1998_PLANT_J, SIDDIQI_MY_1990_PLANT_PHYSIOL, GLASS_ADM_1995_NITROGEN_NUTR_HIGHER, TRUEMAN_LJ_1996_GENE
57	3	3	3	HUIJSER_P_1992_EMBO_J, THEISSEN_G_1996_J_MOL_EVOL, MANDEL_MA_1992_NATURE
58	3	3	3	TAKEDA_Y_1993_CARBOHYD_RES, BHATTACHARYYA_MK_1990_CELL, MIZUNO_K_1993_J_BIOL_CHEM
59	3	3	3	TAKABAYASHI_J_1996_TRENDS_PLANT_SCI, ALBORN_HT_1997_SCIENCE, MATTIACCI_L_1995_P_NATL_ACAD_SCI_USA
60	3	3	3	SACK_FD_1991_INT_REV_CYTOL, LEGUE_V_1997_PLANT_PHYSIOL, CHEN_RJ_1999_PLANT_PHYSIOL
61	3	3	3	PRASAD_TK_1994_PLANT_CELL, MORITA_S_1999_PLANT_CELL_PHYSIOL, KARPINSKI_S_1999_SCIENCE
62	3	3	3	JEFFERSON_R_1987_PLANT_MOL_BIOL_REP, SAMBROOK_J_1989_MOL_CLONING_LAB_MANU, VALVEKENS_D_1988_P_NATL_ACAD_SCI_USA
63	3	3	3	EDELMAN_J_1968_NEW_PHYTOL, VANDENENDE_W_1996_PHYSIOL_PLANTARUM, SHIOMI_N_1989_J_PLANT_PHYSIOL
64	3	3	3	FRANKLINTONG_VE_1996_PLANT_CELL, ALEXANDRE_J_1990_NATURE, ALLEN_GJ_1995_SCIENCE
65	3	3	3	NORMANLY_J_1997_PHYSIOL_PLANTARUM, BARTEL_B_1997_ANNUAL_REVIEW_OF_PLANT_PHYSIOLOGY_AND_PLANT_MOLECULAR_BIOLOGY, NORMANLY_J_1993_P_NATL_ACAD_SCI_USA
66	3	3	3	SUBBAIAH_CC_1994_PLANT_PHYSIOL, DOLFERUS_R_1994_PLANT_PHYSIOL, SUBBAIAH_CC_1994_PLANT_CELL
67	3	3	3	WELLER_JL_1994_PLANTA, LOPEZJUEZ_E_1995_PLANT_PHYSIOL, REED_JW_1996_PLANT_PHYSIOL
68	3	3	3	LI_JY_1993_PLANT_CELL, LANDRY_LG_1995_PLANT_PHYSIOL, LOIS_R_1994_PLANTA
69	3	3	3	HARMS_K_1995_PLANT_CELL, LAUDERT_D_1998_PLANT_J, PENACORTES_H_1993_PLANTA
70	3	3	3	CHEN_ZY_1997_PLANT_PHYSIOL, ERIKSSON_M_1996_P_NATL_ACAD_SCI_USA, FUJIWARA_S_1990_P_NATL_ACAD_SCI_USA
71	3	3	3	RENAUDIN_JP_1996_PLANT_MOL_BIOL, HUNTLEY_R_1998_PLANT_MOL_BIOL, SONI_R_1995_PLANT_CELL
72	3	3	3	HALFTER_U_2000_P_NATL_ACAD_SCI_USA, SHI_HZ_2000_P_NATL_ACAD_SCI_USA, LIU_JP_2000_P_NATL_ACAD_SCI_USA
73	3	3	3	BROCHETTOBRAGA_MR_1992_PLANT_PHYSIOL, GALILI_G_1995_PLANT_CELL, KEMPER_EL_1999_PLANT_CELL
74	3	3	3	MIZUTANI_M_1997_PLANT_PHYSIOL, BELLLELONG_DA_1997_PLANT_PHYSIOL, LOGEMANN_E_1995_P_NATL_ACAD_SCI_USA
75	3	3	3	UGGLA_C_1998_PLANT_PHYSIOL, TUOMINEN_H_1997_PLANT_PHYSIOL, UGGLA_C_1996_P_NATL_ACAD_SCI_USA
76	3	3	3	GEIGENBERGER_P_1997_PLANTA, TRETHEWEY_RN_1998_PLANT_J, MERLO_L_1993_J_PLANT_PHYSIOL
77	3	3	3	ELBOROUGH_KM_1996_BIOCHEM_J, CHOI_JK_1995_PLANT_PHYSIOL, SASAKI_Y_1995_PLANT_PHYSIOL
78	3	3	3	HASE_T_1991_PLANT_PHYSIOL, KIMATA_Y_1989_PLANT_PHYSIOL, AKASHI_T_1999_J_BIOL_CHEM
79	3	3	3	MARTINOIA_E_1993_NATURE, ALFENITO_MR_1998_PLANT_CELL, MARRS_KA_1995_NATURE
80	3	3	3	KRONZUCKER_HJ_1995_PLANTA, INGEMARSSON_B_1987_PLANT_PHYSIOL, GLASS_ADM_1985_PLANT_PHYSIOL
81	3	3	3	KARDAILSKY_I_1999_SCIENCE, KOORNNEEF_M_1991_MOL_GEN_GENET, KOBAYASHI_Y_1999_SCIENCE
